system,workload,num_global_optima,global_optimum_perfs,total_basin_size,global_basin_ratio
h2,smallbank-1,1,27276.3426097538,155,0.07932446264073695
h2,smallbank-10,1,19340.0642101562,118,0.06038894575230297
h2,tpcc-2,1,990.686827002376,65,0.03326509723643808
h2,tpcc-8,1,1062.04800370422,87,0.04452405322415558
h2,voter-16,1,48814.1166447003,119,0.0609007164790174
h2,voter-2,1,48650.7498881033,155,0.07932446264073695
h2,ycsb-2400,1,21035.7455744882,106,0.05424769703172978
h2,ycsb-600,1,30048.8247163783,98,0.05015353121801433
