system,workload,local_optima_ratio,quality,max_basin,min_basin,hamming_r
xz,ambivert,0.02451225612806403,0.7667104981129862,209,0,2
xz,artificl,0.20260130065032517,0.5917544195545346,106,0,2
xz,deepfield,0.02501250625312656,0.7486486259172817,258,0,2
xz,enwik8,0.02051025512756378,0.8176809910220745,450,0,2
xz,fannie_mae_500k,0.02451225612806403,0.6331295858022531,231,0,2
xz,large,0.028514257128564282,0.6727956454406593,290,0,2
xz,misc,0.04452226113056528,0.7321605927691015,207,0,2
xz,silesia,0.021010505252626314,0.6800656728414786,339,0,2
xz,uiq2-4,0.02051025512756378,0.6944932804755538,223,0,2
xz,uiq2-8,0.02001000500250125,0.7736054631022565,516,0,2
xz,uiq2-16,0.018509254627313655,0.6983976621941236,390,0,2
xz,uiq-32,0.022511255627813906,0.791506463240894,371,0,2
xz,vmlinux-5,0.02501250625312656,0.636923873794396,259,0,2
