Workload,Spearman_Correlation
ambivert,0.5824172553058804
artificl,1.0
deepfield,0.5831450209001027
enwik8,0.5393136671953381
fannie_mae_500k,0.8666101085707423
large,0.7857142857142859
misc,0.8116794499134279
silesia,0.6637302018164215
uiq2-4,0.7475233834410858
uiq2-8,0.774330856252604
uiq2-16,0.7266304635202255
uiq-32,0.8144712631112945
vmlinux-5,0.6727272727272726
