system,workload,num_global_optima,global_optimum_perfs,total_basin_size,global_basin_ratio
lrzip,ambivert,1,3.12,7,0.03664921465968586
lrzip,artificl,14,0.03,108,0.5654450261780105
lrzip,deepfield,1,3.3,12,0.06282722513089005
lrzip,enwik8,1,7.09,10,0.05235602094240838
lrzip,fannie_mae_500k,2,33.39,25,0.13089005235602094
lrzip,large,3,0.97,58,0.3036649214659686
lrzip,misc,1,0.19,15,0.07853403141361257
lrzip,silesia,2,10.9,27,0.14136125654450263
lrzip,uiq2-4,1,2.08,14,0.07329842931937172
lrzip,uiq2-8,2,3.45,27,0.14136125654450263
lrzip,uiq2-16,2,5.28,23,0.12041884816753927
lrzip,uiq-32,1,8.85,13,0.06806282722513089
lrzip,vmlinux-5,2,2.52,24,0.1256544502617801
