Option,RSD (%)
iosCreateImagesetFolders,7.422
androidMipmapInsteadOfDrawable,1.105
scaleIsHeightDp,0.200
antiAliasing,0.099
skipUpscaling,0.615
androidIncludeLdpiTvdpi,0.679
threads,0.086
outputCompressionMode,2.224
roundingStrategy,3.458
platform,35.124
