system,workload,iosCreateImagesetFolders_0,iosCreateImagesetFolders_1,androidMipmapInsteadOfDrawable_0,androidMipmapInsteadOfDrawable_1,scaleIsHeightDp_0,scaleIsHeightDp_1,antiAliasing_0,antiAliasing_1,skipUpscaling_0,skipUpscaling_1,androidIncludeLdpiTvdpi_0,androidIncludeLdpiTvdpi_1,threads_90,threads_10,outputCompressionMode_3,outputCompressionMode_4,outputCompressionMode_1,outputCompressionMode_2,roundingStrategy_2,roundingStrategy_3,roundingStrategy_1,platform_3,platform_1,platform_2,platform_4
dconvert,jpeg-large,0.6360878168668339,0.6455145793272441,0.7017510887740451,0.7005398925274889,0.7663324285112993,0.7767845138878838,0.7741140790541308,0.7750293383408665,0.7708043550663636,0.7779162169351594,0.6877776960188261,0.6879455555458711,0.8506141218953083,0.7727971900569861,0.7889614104621373,0.7575363063605074,0.7911743357878421,0.7588423100281352,0.7377437813557481,0.7471647518935681,0.7428872826600627,0.5992670524521518,0.6322211431670014,0.637329191146691,0.6425391672531396
dconvert,jpeg-medium,0.6090922454158584,0.6091270483090514,0.6942799215750014,0.6855288518265988,0.7724570466828845,0.7731055816313969,0.7578135229641948,0.7765505345539996,0.7757035657335681,0.7760438235813489,0.6671413625405708,0.6862440353465299,0.839832924357075,0.770724655986948,0.7960588742459952,0.752764119705747,0.7894579513993643,0.7517313929680957,0.7337550836806991,0.7438610653404596,0.7242523641222567,0.5530118094490155,0.628962850915009,0.5904996283495891,0.6282496003978395
dconvert,jpeg-small,0.23687848047884466,0.26560257214307825,0.30894275938997984,0.3656629924957111,0.3886716690807836,0.44079961166405607,0.4170681080902855,0.43585613166297793,0.4211997610758125,0.4564134547355198,0.32340298285532476,0.04391246528695976,0.46256957685798017,0.3208880911640547,0.39452954906228466,0.377318293978091,0.37907256520241506,0.49844152909605755,0.16844770489327043,0.4760707007238539,0.5223952116153886,0.1476507605016125,0.2914602174277546,0.1964335045668554,0.2608214345466564
dconvert,png-large,0.6374113660254619,0.6040475971070965,0.7047790819680191,0.6808952940686631,0.7673528645282965,0.7559191932019006,0.7768841606839573,0.7661548173394057,0.7728887972707614,0.7763749724191359,0.69631304488799,0.6902589739036922,0.8265709554498896,0.7556539174985417,0.7891764396600123,0.7715623960886565,0.7349936333266947,0.7618229154901067,0.7345842335983988,0.7360232880037962,0.7385830313843977,0.5155807409685795,0.6737211702507225,0.6487900277360408,0.6293999765924813
dconvert,png-medium,0.601256725505873,0.5657974890390488,0.6749112879070067,0.673090010439147,0.7467831618363088,0.7439503813129317,0.755978846819163,0.7448937508411041,0.751811181941815,0.7554861184095415,0.669958579718383,0.6607610778071226,0.7305127815299841,0.7204111559737932,0.7148300446591688,0.74511989906031,0.704328706375913,0.7607397168126063,0.7065302652302258,0.7074067482914905,0.7283867316238491,0.5361760601797219,0.6654001229632579,0.6119971157906243,0.5814348524628401
dconvert,png-small,0.12933770590230934,0.18039692206958474,0.399526072980153,0.48461117256127256,0.4549794773137756,0.6110602555663419,0.49378497779110203,0.5901718514172164,0.4696334965194106,0.601585114862205,0.22433718520162033,0.12042309192157033,0.5090593472810778,0.5025033081124898,0.48761831467108685,0.4794297900109576,0.46424544724220057,0.6138125912181565,0.492170414728023,0.5198093871857176,0.5586916481572081,0.11428277369633241,0.17571939853442534,0.10710024482670194,-0.026413970040836048
dconvert,psd-large,0.0067021347821143345,0.038526393260970876,0.7815567007166242,0.7737825836257222,0.8862047231003737,0.8874377657781481,0.8880111924983127,0.8854544186281331,0.8898999999816282,0.8889330202198108,0.0770813611864626,0.03674999727373357,0.8703224292170162,0.870851220340395,0.8577012520174763,0.8590703741625835,0.8601778160830263,0.8588042187281691,0.8604357505096724,0.8604129365589464,0.8616604962517961,0.01364968462018098,0.11959742997458052,0.021386985499024142,0.06792149989059215
dconvert,psd-medium,0.2906519425238554,0.2713246484376664,0.6909142992289201,0.6492285175022565,0.7576065090312325,0.7575663218322849,0.7601833853919155,0.7575302129446793,0.7557520679864127,0.7646845304709688,0.5963448882884386,0.6861284022503858,0.7426489622624177,0.7825238720504938,0.7469669760143024,0.752737201693103,0.7385038225130675,0.7495297169290774,0.715542326822066,0.7231720452792438,0.7065158515575014,0.0725091657717949,0.5555503140764448,0.3666843613713837,0.28227190943930397
dconvert,psd-small,0.3323618517002962,0.1875897234774579,0.43954030194134897,0.40425820208457364,0.5498849008202679,0.5525499761720614,0.540907246283504,0.5520776872138388,0.5603717068795312,0.5711260383691839,0.3576115599351645,0.2803272725399931,0.5223728820882844,0.5303095134310644,0.49573279714980795,0.5256051424208883,0.5553757886312296,0.6196456195345198,0.5556327298767125,0.5375928833650907,0.5311387423829171,0.1930929680589019,0.3936850690758823,0.360286475751121,0.1465461309637666
dconvert,svg-large,-0.008746966016832591,-0.013694929220522727,0.039183843263621496,0.013212354163102557,0.002972113390979784,0.0002407120409496735,0.006331508075851892,-0.00824048111735381,0.014288011625754389,0.002679451702068658,0.02651532295871206,0.005595256391757075,0.017381749450166763,0.0015232403323523235,0.018710654137567267,0.03836950320972071,0.026246945025019463,-0.018120592170235723,0.03800510597208155,0.005112125868314969,-0.0037050963635761967,-0.01524546455380402,0.013568404942913314,-0.03492209977208829,0.004558820467888695
