ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,performance
0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,85941.2
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,84933.0
0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,82051.6
0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,65878.6
0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,70608.4
1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,86294.0
0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,71276.2
1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,70161.2
0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,72401.4
1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,92727.4
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,60522.0
0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,83571.6
1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,65536.6
1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,85004.4
0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,82159.8
1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,72783.8
0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,91456.0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,57084.2
0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,97372.2
1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,75849.4
1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,80529.8
1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,68796.8
0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,88089.6
0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,80051.0
1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,86718.4
0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,77707.0
0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,74738.0
1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,87080.2
1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,87331.0
0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,86093.4
1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,68415.8
0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,77536.6
1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,85742.2
1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,81457.8
0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,89049.6
0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,79209.4
0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,76109.8
1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,86670.0
0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,68178.2
1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,65593.8
1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,62742.4
1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,73554.0
1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,64334.4
0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,83675.2
0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,83636.6
0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,72445.2
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,64148.0
1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,85524.8
1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,75930.4
1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,72956.2
1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,86363.6
0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,72296.2
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,71273.6
1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,71093.0
0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,72384.2
1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,72027.2
1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,74902.0
1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,81180.2
