system,workload,num_global_optima,global_optimum_perfs,total_basin_size,global_basin_ratio
xz,ambivert,1,3.16,34,0.017008504252126064
xz,artificl,144,0.01,898,0.44922461230615307
xz,deepfield,1,3.04,79,0.03951975987993997
xz,enwik8,1,7.66,241,0.12056028014007003
xz,fannie_mae_500k,1,8.44,231,0.11555777888944473
xz,large,1,1.07,204,0.10205102551275638
xz,misc,19,0.18,675,0.33766883441720863
xz,silesia,1,17.53,81,0.04052026013006503
xz,uiq2-4,1,1.93,41,0.02051025512756378
xz,uiq2-8,2,3.75,78,0.03901950975487744
xz,uiq2-16,1,7.46,59,0.029514757378689346
xz,uiq-32,1,15.09,30,0.015007503751875938
xz,vmlinux-5,1,2.38,71,0.03551775887943972
