MemoryLimit,Nice,Depth,Dict,Dist,Multithreading,BlockSize,FlushTimeout,PositionBits,check,mfs,Literal Context Bits,time
0,0,0,0,0,0,0,0,0,1,1,9,0.04
0,0,0,0,0,0,0,0,0,2,3,10,0.03
0,0,0,0,0,0,0,0,0,4,3,15,0.02
0,0,0,0,0,0,0,0,0,3,1,15,0.03
0,0,0,0,0,0,0,0,0,3,4,1,0.02
0,0,0,0,0,0,0,0,0,1,5,3,0.02
0,0,0,0,0,0,0,0,0,4,1,1,0.02
0,0,0,0,0,0,0,0,0,2,2,4,0.02
0,0,0,0,0,0,0,0,0,1,3,3,0.04
0,0,0,0,0,0,0,0,1,3,4,1,0.03
0,0,0,0,0,0,0,0,0,4,3,2,0.04
0,0,0,0,0,0,0,0,0,2,1,3,0.04
0,0,0,0,0,0,0,0,0,1,4,4,0.03
0,0,0,0,0,0,0,0,0,2,3,5,0.03
0,0,0,0,0,0,0,0,0,4,2,6,0.03
0,0,0,0,0,0,0,0,0,4,3,7,0.03
0,0,0,0,0,0,0,0,0,3,4,8,0.03
0,0,0,0,0,0,0,0,0,1,4,9,0.03
0,0,0,0,0,0,0,0,0,3,5,10,0.03
0,0,0,0,0,0,0,0,0,1,3,11,0.03
0,0,0,0,0,0,0,0,0,2,3,12,0.03
0,0,0,0,0,0,0,0,0,2,3,13,0.02
0,0,0,0,0,0,0,0,0,2,3,14,0.03
0,0,0,0,0,0,0,0,0,3,3,15,0.03
1,0,0,0,0,0,0,0,0,4,3,3,0.03
0,1,0,0,0,0,0,0,0,1,3,5,0.02
0,0,1,0,0,0,0,0,0,4,3,2,0.02
0,0,0,1,0,0,0,0,0,3,5,10,0.02
0,0,0,0,1,0,0,0,0,1,3,2,0.04
0,0,0,0,0,1,0,0,0,4,3,3,0.03
0,0,0,0,0,0,1,0,0,3,2,2,0.03
0,0,0,0,0,0,0,1,0,4,5,1,0.02
0,0,0,0,0,0,0,0,1,4,3,6,0.03
1,1,1,1,1,1,1,0,0,4,4,15,0.04
1,1,1,1,1,1,1,0,0,3,5,8,0.04
1,1,1,1,1,1,1,0,0,1,4,4,0.02
1,1,1,1,1,1,1,0,0,1,1,14,0.03
1,1,1,1,1,1,1,0,0,2,1,10,0.03
1,1,1,1,1,0,1,1,0,3,1,2,0.03
1,1,1,1,1,0,1,1,0,3,3,6,0.05
1,1,1,1,1,0,1,1,0,1,5,2,0.04
1,1,1,1,1,1,1,0,0,3,5,13,0.03
1,1,1,1,1,0,1,1,0,4,2,7,0.04
1,1,1,1,1,0,1,1,0,1,3,7,0.04
1,1,1,1,1,1,1,0,0,3,1,8,0.04
1,1,1,1,1,0,1,1,0,4,3,2,0.05
1,1,1,1,1,1,1,0,0,1,3,8,0.04
1,1,1,1,1,0,1,1,0,2,3,9,0.03
1,1,1,1,1,1,1,0,0,1,3,4,0.04
1,1,1,1,1,0,1,1,0,3,3,14,0.03
1,1,1,1,1,1,1,0,0,3,5,1,0.03
1,1,1,1,1,1,1,0,0,3,4,5,0.03
1,1,1,1,1,0,1,1,0,3,3,8,0.04
1,1,1,1,1,0,1,1,0,4,3,6,0.04
1,1,1,1,1,0,1,1,0,3,1,1,0.04
1,1,1,1,1,0,1,1,1,3,3,6,0.03
1,1,1,1,1,0,1,1,1,1,3,7,0.03
0,1,1,1,1,0,1,1,0,3,5,1,0.02
1,0,1,1,1,1,1,0,0,3,5,7,0.03
1,1,0,1,1,1,1,0,0,4,5,2,0.04
1,1,1,0,1,0,1,1,0,4,3,5,0.04
1,1,1,1,0,0,1,1,0,3,3,7,0.03
