Workload,Spearman_Correlation
jpeg-large,0.2303921568627451
jpeg-medium,0.0
jpeg-small,0.3353353533357125
png-large,0.3108668690526121
png-medium,0.6363636363636365
png-small,0.7545454545454545
psd-large,0.41000658427909814
psd-medium,0.31154017917955074
psd-small,0.6083916083916086
svg-large,0.2571428571428572
svg-medium,0.016483516483516484
svg-small,0.6666666666666669
