MDS_Dim1,MDS_Dim2,performance
1.5524506391691748,-0.3687228563542394,3.73
1.3528087814180154,-0.25584454658628125,3.22
1.693282100517364,0.062259053854707765,3.25
1.720990200018855,-0.0786726631758685,3.72
1.475037944437189,0.00905737078490667,4.11
1.3568475957821844,-0.5678145486311218,4.09
1.8061261112529625,0.15707037915113956,3.75
1.4120728593520837,-0.2182898830247473,3.45
1.354962661879594,-0.41081927385085626,3.21
1.6338767124948776,-0.6966800418992419,4.15
1.6151341051867831,0.12569594268113513,3.24
1.5699399049335325,-0.19732715337787113,3.72
1.322011027738588,-0.44653995587167883,4.16
1.339048983078516,-0.23037672600863524,3.21
1.6121212305677022,0.061178666057526275,3.48
1.5501067745829755,0.05692534833131649,3.24
1.3885510603642472,-0.10162350042923625,4.13
1.324485143190499,-0.4317495962204013,4.14
1.4580217039288579,-0.04842686385247525,4.1
1.3741133882494154,-0.4035819943221185,3.22
1.3796791997547648,-0.26472552395076276,3.21
1.4004722651941637,-0.26891236583188294,3.21
1.4280551898224674,-0.27269434231145995,3.21
1.5423358821437443,-0.09356239783602051,3.22
1.2938787188888432,0.532002890699605,3.24
0.8734708238606343,-0.5200269855491871,3.29
1.3346970457235199,0.5515074962053749,3.25
0.9980182929948627,-0.1372100034940491,4.82
1.0590632896880998,0.35520353237422264,2.2
1.120376592596661,-1.2688059437615895,1.69
1.0349529192694258,0.29502241517548017,3.46
1.6975434246672585,0.9623314032308687,4.11
1.7954498707035278,-0.3791742586181302,3.25
-1.7116821967572773,-0.08993524221056808,14.05
-1.4507631424344518,-0.13006013618097145,16.46
-1.4074442750128968,-0.34618578026050373,13.85
-1.5651128821032472,-0.6040066241725893,7.07
-1.4746694298725027,-0.23144148234975928,7.01
-1.4029673005621035,1.0197743060557372,7.06
-1.1971297233299354,0.871123225453457,4.86
-1.2974718594137835,1.0666786121218805,16.35
-1.5503872696061125,-0.19386170787229973,16.27
-1.3939475833272852,0.9543092595031805,5.8
-1.18822634270089,0.8253292542964507,4.7
-1.5221185177525127,-0.06777803177968851,7.31
-1.3657912080984034,1.039682224997732,5.06
-1.3419810845335165,-0.3161749813176596,4.84
-1.1796904634474261,0.8014479264174933,4.71
-1.3830101083730282,-0.3172066722614126,4.67
-1.359316023447263,0.8114224468230197,4.85
-1.611418999260962,-0.13242571348348237,16.25
-1.3938430338588153,-0.09659643711024798,13.94
-1.21451191289489,0.8413676485049064,4.88
-1.3349506583781943,0.9537137357734011,4.89
-1.430469324005314,1.0400649368294541,7.58
-1.192902419329044,1.23484096430444,4.86
-1.184680145534659,1.2730994236752233,4.71
-0.7741006225108047,1.4279699606297305,16.25
-1.0167473073425886,-0.41814807455515224,16.39
-1.4521850855589775,-0.8705725861725866,9.07
-0.8015419520192524,1.2592417575853658,2.22
-0.8070120077551988,0.9242594256326441,5.81
-1.4000922782249867,0.8147742675144937,4.82
-1.1735811652432453,-0.5851542999459746,1.71
-1.6891480638743448,-0.07278787623514096,4.76
-1.4950436931624445,-0.11697930995444915,16.49
1.3461373458827997,-0.45643861598081154,4.14
1.334911447842053,-0.5227277285496886,4.09
1.5527015972503562,-0.3571050461374036,3.72
1.4304600276489345,-0.3851478004312243,3.45
1.4383259445144578,-0.45043889011912397,3.21
1.3965726205541027,-0.4480709188895382,3.21
1.343127971195549,-0.48566869780094174,4.11
1.3549626618795783,-0.4108192738508883,3.2
1.3443629430381554,-0.39957613234463646,2.98
1.4168443023514128,-0.375726559994643,3.46
1.4098604491895836,-0.37516761705978585,3.45
1.499314268683958,-0.9440028498417514,4.12
1.3186299263557668,-0.425791508793459,4.14
1.3244851431904965,-0.4317495962204024,4.15
1.3598339298464241,-0.39399922859743786,3.21
1.3689314942022812,-0.5481179935432725,4.1
1.3919861177363082,-0.417462588008791,3.21
1.484535365248622,-0.41253070160121075,3.45
1.4344855271846562,-0.5884501419619532,4.1
1.7052700135846341,-0.3524292877349713,3.45
1.0074765820833644,-0.7832556121840494,2.98
0.8630372945144884,-0.7055733467861055,3.29
0.8698112066368152,-0.8335370117928876,6.09
0.8679013175769006,-0.6208948653966802,4.68
0.9961619634932017,0.2125367998646654,3.09
1.0362742242627658,-1.2538436674190276,1.68
0.90171344825354,-0.6413843321295358,3.24
1.7267927724379888,0.5115884462166033,3.44
1.5613598117628962,-1.0301381673814065,4.1
1.3190434978059162,-0.26050451331380053,4.13
1.333398372804364,-0.28940235510999757,4.1
1.5736081989246222,-0.23392901384835893,3.73
1.448447949779807,-0.2509306886242291,3.19
1.3380245253843277,-0.24643729802813688,2.97
1.6418713752431633,-0.17198610836682449,3.72
1.6025454972780129,-0.18511425503053555,3.72
1.5699399049335316,-0.19732715337787116,3.72
1.3455152961986763,-0.22468235705518808,3.21
1.3424051393041336,-0.2484694081339493,4.12
1.3168183231763297,-0.24943706224640608,4.15
1.316672611198339,-0.25512120065297694,4.13
1.4837026241427487,-0.8072956664263207,4.13
1.3239676154820608,-0.2658218202521491,3.9
1.3528087814180159,-0.25584454658628153,3.21
1.3432858227982405,-0.2767652452878601,4.15
1.3916447667411829,-0.3090400287903606,4.11
1.6009757321897091,-0.2312129249259953,3.46
1.410196010020298,-0.29171702962597096,4.15
1.5161869164101813,-0.3132022243371284,4.1
0.9457470679330024,-0.10129991944129278,4.16
0.9977796009998536,-0.2266455124396527,3.53
0.9728838647178483,-0.5613040091279852,3.22
1.0270065621396565,-0.6186753603272322,4.51
1.2431894643322172,0.636522633596466,2.93
0.9949620508870091,-1.2574187276568283,2.17
0.8734745437141577,-0.016383572066433413,3.91
1.6451496016440406,0.5794881125225138,3.22
1.59502846827418,-0.7153726394327355,3.45
1.7027040192576886,0.11014502614687703,4.19
1.7092551802625002,0.16335889986561078,4.16
1.7819304198702968,0.13921264988737808,3.76
1.7471861126902295,0.04610581098971841,3.48
1.5695554173593416,0.045798196837709755,3.01
1.8061261112529594,0.15707037915113964,3.48
1.6213932334832741,0.15512586422610364,4.17
1.5915759858432987,0.10697929753432196,3.24
1.5758033745819982,0.1173402272247425,4.19
1.7308277077196077,0.09178831710886681,3.77
1.722009946910032,0.07855652501073544,3.76
1.5493592186324607,0.0833472294596747,4.18
1.5520896222319522,0.05108208560887757,3.24
1.5586112425922936,0.047431785019333844,3.24
1.6274453910362718,0.03829757283623574,3.49
1.7461758020739957,0.044800953858040546,3.76
1.763563215439654,0.04703583859953149,3.5
1.634813529839578,0.08618870556471986,4.17
1.8075483537510972,0.05627280349478855,3.48
1.6932821005173626,0.06225905385471074,3.25
1.4773075811916172,0.6526532960025826,4.15
1.33611226662229,0.6833731994186265,3.08
1.3567048618318622,0.6374477839941005,3.24
1.3491961798324288,0.4684635796349283,4.3
1.2236235195941614,0.6044738771978725,2.18
1.1192347202910473,-1.3389683895877076,2.15
1.2336787986607394,0.48156263081774375,3.28
1.7127974148204914,0.6992533052069444,4.18
1.8596807062978198,-0.4623130617944772,4.19
1.386485874722462,-0.09647429035799718,4.14
1.4388423081325044,-0.027404486079608617,4.09
1.6326651756387145,-0.038046934203095364,3.72
1.4618757165640293,-0.09355682908081567,3.43
1.3993287921252915,-0.11349494979226013,2.97
1.4750379444371884,0.00905737078490676,4.12
1.511519069701585,0.05462466372791166,4.11
1.4200256166003382,-0.043746595999231676,4.12
1.4123287338741515,-0.07871707909290857,3.2
1.394075505119616,-0.077383989915827,4.18
1.3882360636540056,-0.08852469142181811,3.89
1.5456869722372293,-0.6492591568508929,3.9
1.5725106495599062,-0.5972484003285993,3.22
1.4060153123260801,-0.11570192501149956,3.2
1.4580217039288583,-0.048426863852474605,4.11
1.6167576307154436,-0.09036879279017049,3.72
1.5160926648322688,-0.10761118589482312,3.45
1.5344876617872367,-0.02823252000645649,4.09
1.6888382503892436,-0.08387008002912638,3.72
1.5423358821437416,-0.09356239783602087,3.2
1.101776570701556,0.127804339795778,4.17
1.1413073586705478,0.13661186825161445,4.31
1.011597014957515,-0.3514571959242516,5.77
1.0771757397085246,0.058932334074795506,4.28
1.146065149244592,0.4561935345304951,2.39
1.0419488620140063,-1.2198558273790072,1.67
1.1344293312904827,0.20831873051649052,2.99
1.6552798323110627,0.6785325768820684,2.96
1.7027567718758203,-0.6092180373077397,3.21
1.6338767124448,-0.6966800419822371,4.16
