Option,RSD (%)
NoRes,1.695
Downmix,1.412
Freeformat,9.008
Stereo,1.418
CRC,6.916
SwapBytes,10.665
Resampling,24.122
CBR,1.796
VBRRange,18.146
MPEGMode,9.132
