encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
1,0,0,0,0,0,3,11.61
0,1,0,0,0,0,3,8.0
0,0,0,0,0,0,1,14.37
0,0,0,0,0,0,2,12.79
0,0,0,0,0,0,3,7.43
0,0,0,0,0,0,4,7.17
0,0,0,0,0,0,5,103.78
0,0,1,0,0,0,5,87.43
0,0,0,1,0,0,1,9.53
0,0,0,0,1,0,1,104.03
0,0,0,0,0,1,3,7.43
0,1,1,1,1,0,4,9.31
1,0,1,1,1,0,5,63.11
1,1,1,1,1,0,4,12.39
1,1,1,1,1,0,5,63.1
1,1,1,1,1,0,1,12.79
1,1,1,1,1,0,2,11.09
1,1,1,1,1,0,3,11.61
1,1,0,1,1,0,1,12.47
1,1,1,0,1,0,1,17.5
1,1,1,1,0,0,2,12.48
1,1,0,1,1,0,2,11.08
1,1,0,0,0,0,1,16.73
1,0,0,0,0,0,1,17.53
1,0,0,0,0,0,2,15.9
1,0,0,0,0,0,4,10.75
1,0,0,0,0,0,5,107.19
1,0,1,0,0,0,2,11.55
1,0,0,1,0,0,2,11.02
1,0,0,0,1,0,2,11.61
1,0,0,0,0,1,3,11.58
0,1,0,0,0,0,1,14.4
0,1,0,0,0,0,2,12.69
0,1,0,0,0,0,4,7.76
0,1,0,0,0,0,5,103.87
0,1,1,0,0,0,2,7.17
0,1,0,1,0,0,2,9.51
0,1,0,0,1,0,3,13.59
0,1,0,0,0,1,3,8.18
0,0,1,0,0,0,1,14.39
0,0,1,0,0,0,2,14.38
0,0,0,1,0,0,2,12.83
0,0,0,0,1,0,2,9.23
0,0,1,0,0,0,3,12.9
0,0,0,1,0,0,3,7.98
0,0,0,0,1,0,3,7.21
0,0,1,0,0,0,4,8.22
0,0,0,1,0,0,4,7.91
0,0,0,0,1,0,4,7.96
0,0,0,1,0,0,5,7.93
0,0,0,0,1,0,5,60.24
0,0,1,1,0,0,2,8.03
0,0,1,0,1,0,1,11.97
0,0,1,0,0,1,3,7.24
0,0,0,1,1,1,3,9.2
0,0,0,1,0,1,3,8.0
0,0,0,0,1,1,3,8.24
0,0,1,1,1,0,5,60.51
0,1,1,1,1,0,5,60.55
0,1,1,1,1,0,3,7.94
0,1,1,1,1,0,1,9.37
0,1,1,1,1,0,2,8.03
0,1,1,1,1,1,3,8.02
0,1,0,1,1,0,4,13.58
0,1,1,0,1,0,4,9.52
0,1,1,1,0,1,3,8.04
1,0,1,1,1,0,3,12.7
1,0,1,1,1,0,2,10.82
1,0,1,1,1,1,3,11.04
1,0,1,1,1,0,4,12.45
1,0,0,1,1,1,3,11.51
1,0,1,0,1,0,5,17.55
1,0,1,1,0,0,2,11.55
1,0,1,1,1,0,1,12.49
1,1,0,1,1,0,3,11.41
1,1,1,0,1,0,4,10.76
1,1,1,1,0,0,5,10.29
1,1,1,1,0,0,4,63.71
1,1,1,1,1,1,3,11.52
1,1,1,1,0,0,1,10.76
1,1,0,1,1,1,3,11.03
1,1,1,1,0,0,3,11.01
1,1,0,1,1,0,4,11.57
1,1,1,0,1,0,5,9.23
1,1,1,0,0,0,1,90.61
1,1,1,0,1,0,2,12.39
1,1,1,0,1,0,3,10.31
1,1,0,1,1,0,5,10.24
1,1,1,0,1,1,3,15.14
1,1,1,1,0,1,3,63.43
1,1,0,1,0,0,3,107.2
1,1,0,0,1,0,1,7.97
0,1,1,0,1,0,3,11.61
1,1,0,1,0,0,1,9.78
0,1,1,1,0,0,4,12.2
1,1,0,0,1,0,5,15.21
1,1,0,1,0,0,2,12.18
1,1,0,1,0,0,5,17.54
1,1,1,0,0,0,2,15.65
1,1,1,0,0,0,3,10.75
1,0,1,1,0,0,4,11.01
1,1,0,0,0,0,2,8.01
1,1,0,0,0,0,3,7.77
1,1,0,0,0,0,4,7.23
1,1,0,0,0,0,5,8.0
1,1,1,0,0,0,5,12.48
1,1,0,0,0,1,3,7.44
1,0,1,0,0,0,1,10.97
1,0,0,1,0,0,1,8.06
1,0,0,0,1,0,1,7.99
1,0,1,0,0,0,3,10.79
1,0,0,1,0,0,3,7.99
