encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
1,0,0,0,1,0,3,11.61
1,0,1,0,0,0,4,10.83
1,0,0,1,0,0,4,11.56
1,0,0,0,1,0,4,10.29
1,0,1,0,0,0,5,7.09
1,0,0,1,0,0,5,8.0
1,0,0,0,1,0,5,7.26
1,0,1,0,1,0,2,7.97
1,0,1,0,0,1,3,11.02
1,0,0,1,1,0,2,8.0
1,0,0,1,0,1,3,7.95
1,0,0,0,1,1,3,10.79
0,1,1,0,0,0,1,7.23
0,1,0,1,0,0,1,63.35
0,1,0,0,1,0,1,63.32
0,1,0,0,1,0,2,60.59
0,1,1,0,0,0,3,10.78
0,1,0,1,0,0,3,12.89
0,1,1,0,0,0,4,11.41
0,1,0,1,0,0,4,9.44
0,1,0,0,1,0,4,15.94
0,1,1,0,0,0,5,15.98
0,1,0,1,0,0,5,60.55
0,1,0,0,1,0,5,7.99
0,1,1,0,1,0,2,9.21
0,1,1,0,0,1,3,16.03
0,1,0,1,0,1,3,7.17
0,1,0,0,1,1,3,63.64
0,0,1,1,0,0,1,10.78
0,0,0,1,1,0,1,11.54
0,0,1,0,1,0,2,90.74
0,0,0,1,1,0,2,10.75
0,0,1,1,0,0,3,11.53
0,0,1,0,1,0,3,11.58
0,0,0,1,1,0,3,10.74
0,0,1,1,0,0,4,11.53
0,0,1,0,1,0,4,8.25
0,0,0,1,1,0,4,8.26
0,0,1,1,0,0,5,11.35
0,0,1,0,1,0,5,11.54
0,0,0,1,1,0,5,106.99
0,0,1,1,1,0,1,8.22
0,0,1,1,0,1,3,7.45
0,0,1,0,1,1,3,10.77
0,0,1,1,1,0,4,8.17
0,0,1,1,1,0,2,8.25
0,0,1,1,1,0,3,11.54
0,1,0,1,1,0,5,11.52
0,1,1,0,1,0,5,12.48
0,1,1,1,0,0,5,17.55
0,1,0,1,1,1,3,9.49
0,0,1,1,1,1,3,13.58
0,1,0,1,1,0,1,17.48
0,1,1,1,0,0,1,12.43
0,1,1,0,1,0,1,9.53
0,1,0,1,1,0,2,13.59
0,1,1,1,0,0,2,63.58
0,1,1,0,1,1,3,15.96
0,1,0,1,1,0,3,104.11
0,1,1,1,0,0,3,106.54
1,0,1,1,0,0,5,60.46
1,0,0,1,1,0,5,10.77
1,0,0,1,1,0,4,90.66
1,0,0,1,1,0,1,60.54
1,0,1,0,1,0,4,103.82
1,0,0,1,1,0,3,90.71
1,0,1,1,0,0,1,60.54
1,0,1,0,1,0,1,12.17
1,0,1,0,1,0,3,87.62
1,0,1,1,0,0,3,12.86
1,0,1,0,1,1,3,103.21
1,0,1,1,0,1,3,9.24
1,1,0,0,1,0,3,8.0
1,1,0,0,1,0,2,11.55
1,1,0,1,0,1,3,8.28
1,1,1,0,0,0,4,8.24
1,1,0,1,0,0,4,9.23
1,1,0,0,1,0,4,12.52
1,1,0,0,1,1,3,17.54
