encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
0,0,1,1,1,1,3,0.28
0,1,0,1,1,0,1,3.2
0,1,1,1,0,0,1,3.2
0,1,1,0,1,0,1,0.27
0,1,0,1,1,0,2,0.29
0,1,1,1,0,0,2,4.04
0,1,1,0,1,1,3,3.2
0,1,0,1,1,0,3,1.11
0,1,1,1,0,0,3,4.04
1,0,1,1,0,0,5,1.11
1,0,0,1,1,0,5,3.15
1,0,0,1,1,0,4,4.03
1,0,0,1,1,0,1,1.11
1,0,1,0,1,0,4,1.12
1,0,0,1,1,0,3,4.04
1,0,1,1,0,0,1,1.11
1,0,1,0,1,0,1,3.18
1,0,1,0,1,0,3,1.12
1,0,1,1,0,0,3,0.28
1,0,1,0,1,1,3,1.12
1,0,1,1,0,1,3,0.27
1,1,0,0,1,0,3,0.21
1,1,0,0,1,0,2,3.15
1,1,0,1,0,1,3,0.22
1,1,1,0,0,0,4,0.22
1,1,0,1,0,0,4,0.27
1,1,0,0,1,0,4,3.19
1,1,0,0,1,1,3,3.21
