Workload,Spearman_Correlation
ambivert,0.4096053688076857
artificl,0.7757323205914863
deepfield,0.6783052348335004
enwik8,0.4144989379387821
fannie_mae_500k,0.45384859844517683
large,0.5177395180373177
misc,0.7351625292605336
silesia,0.4218498057984935
vmlinux,0.3488162038521669
