ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,performance
1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,81239.2
0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,70470.2
0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,88228.2
0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,78331.8
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,72732.0
0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,80581.8
0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,77375.4
0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,92720.6
1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,76334.4
0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,74488.8
0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,70131.4
1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,97587.6
1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,74866.0
1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,64399.2
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,74268.6
0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,86713.6
0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,65839.8
0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,76281.4
0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,89561.8
0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,85496.8
0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,84368.8
1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,63082.2
0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,64257.6
0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,81885.2
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,73150.2
1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,81394.2
0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,78647.8
0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,82041.2
1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,89892.2
0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,70442.8
0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,72597.0
0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,75260.0
0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,92275.8
0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,86029.6
1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,76003.2
0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,79634.6
0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,81860.6
1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,93404.2
1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,87008.0
1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,68684.2
0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,85755.6
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,65617.0
1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,71177.0
1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,97343.6
1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,83772.0
0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,92380.0
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,75121.8
0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,95678.0
0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,89177.6
0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,66585.4
0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,76146.0
0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,74061.8
1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,89115.4
0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,96645.2
1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,81942.8
0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,72700.2
0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,86145.6
0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,60657.4
0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,86455.2
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56864.4
1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,73101.4
0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,88598.6
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,59321.4
0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,84089.8
1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,71472.8
0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,87097.6
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,99990.4
0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,75618.8
1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,87266.4
