ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,performance
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,89425.8
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,63553.6
0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,80062.4
0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,70942.2
1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,89614.0
0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,77971.6
1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,92356.2
1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,87061.0
0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,77116.6
0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,72775.2
1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,58238.0
1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,79478.6
0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,69713.6
0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,74187.4
0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,70659.4
1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,81438.6
1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,95125.6
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,64457.4
0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,75147.0
0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,91607.6
1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,79597.2
1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,95758.6
1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,83761.8
1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,67934.6
1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,67312.0
0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,91035.4
1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,75710.2
1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,77529.8
0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,65821.2
0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,82420.2
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,73400.4
0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,84203.0
0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,89659.0
0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,81869.2
0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,64192.0
1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,76017.4
1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,65736.2
0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,65310.6
1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,86782.0
0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,59399.6
0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,80860.0
0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,79088.0
0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,64710.4
1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,69855.8
1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,74598.0
0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,87857.0
0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,82639.0
0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,81438.0
1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,83871.4
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,64372.6
0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,74681.2
1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,94540.4
0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,85589.2
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,65646.0
1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,68005.6
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,71112.4
1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,65184.0
0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,72730.0
0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,84006.6
1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,67665.8
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,61790.0
0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,87746.2
0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,67848.2
1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,95519.6
1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,75114.8
1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,84381.0
1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,95530.6
0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,67946.8
0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,67745.2
0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,77034.0
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,68228.6
1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,70984.8
1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,82716.4
0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,68435.4
1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,76885.6
0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,79274.4
0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,64415.2
1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,88806.8
0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,76061.8
0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,65233.4
1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,66417.8
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,57014.4
0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,79771.2
0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,92300.6
0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,60261.2
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,71873.0
0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,96480.6
1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,84649.4
1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,77001.8
0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,77748.6
0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,88622.8
1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,84803.2
0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,64653.4
0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,86288.8
1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,89049.2
1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,76649.4
0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,80336.8
1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,94050.8
1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,80058.6
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,73977.6
1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,87890.2
1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,72061.8
0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,87163.8
0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,83727.0
1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,84847.0
0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,72645.8
0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,70605.6
0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,79354.0
1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,85921.2
0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,70434.0
1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,66003.0
1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,82978.6
1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,66911.6
1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,68634.6
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,62331.0
0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,87464.2
1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,78446.0
0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,68044.4
1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,87379.6
1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,76630.4
1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,84849.4
1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,78818.8
0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,93616.2
0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,84169.4
1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,84221.0
1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,88956.0
0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,86055.4
1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,83613.4
0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,84817.6
1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,89046.0
0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,79305.6
1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,82610.8
1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,70470.8
1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,73346.4
0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,90620.0
1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,83580.6
0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,86167.4
1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,89170.4
1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,71784.8
0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,59719.0
1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,87253.4
1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,84106.6
0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,76267.6
0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,85506.2
1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,79966.4
0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,95331.6
0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,91729.8
1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,80617.0
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,85333.6
0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,79051.0
1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,68094.2
0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,82912.0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,62952.0
1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,86070.6
1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,68038.8
1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,72630.6
0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,61474.4
0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,62808.0
1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,95797.4
1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,71517.2
0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,65804.4
1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,82737.8
1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,65267.8
0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,66682.6
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,83999.2
1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,69310.0
0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,72586.2
0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,80775.8
1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,86100.8
1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,62610.0
0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,91911.8
1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,81852.4
0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,75883.8
0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,85204.8
0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,69584.8
1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,92729.0
1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,92397.4
1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,69177.4
0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,71386.2
0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,84994.6
0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,69679.2
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,75778.4
0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,91689.2
0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,79538.4
1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,67759.6
1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,75523.8
1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,73450.8
1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,75926.6
0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,85828.8
0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,86440.0
0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,97586.4
1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,90283.2
0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,89375.4
1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,92715.8
0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,75747.2
0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,72187.4
0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,78294.4
0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,67631.2
1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,84739.4
0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,89553.0
1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,86849.6
0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,65836.8
0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,75757.0
0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,70923.6
1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,70958.2
0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,78019.2
0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,94274.6
0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,85126.8
0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,86093.4
1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,81273.0
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,96651.0
1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,82050.2
1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,78296.0
1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,94607.4
1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,79760.6
1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,76067.2
1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,97964.8
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,62390.2
0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,75596.8
0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,78164.6
1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,80576.8
1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,75869.8
0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,71704.8
0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,85435.8
1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,90265.4
1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,76833.4
1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,72801.6
0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,79082.0
0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,74256.8
0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,82502.6
1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,92916.2
1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,83192.8
1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,82629.4
1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,85507.8
1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,83485.8
1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,82401.2
1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,97607.8
0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,85236.2
1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,81647.8
0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,84837.4
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,72472.2
1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,69705.6
1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,73363.2
0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,77748.6
0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,93157.6
0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,76001.6
1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,85091.2
0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,88292.8
1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,79392.2
1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,65973.6
0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,84808.2
1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,92894.4
1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,67451.8
0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,76982.2
0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,83577.8
1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,73066.6
0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,88916.2
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,62804.2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55781.8
0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,68711.6
0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,83082.6
1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58000.0
0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,75722.6
0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,72441.8
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,63775.2
1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,90764.4
0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,74891.4
0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,90184.6
0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,73916.4
1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,93564.0
0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,71888.8
0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,70064.8
1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,80083.2
1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,73968.4
0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,81866.8
1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,90937.4
1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,66147.8
1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,64055.8
1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,69252.6
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,73901.4
1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,77387.6
1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,76990.8
1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,85839.6
1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,84422.2
0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,70137.0
1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,92141.6
0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,83604.6
1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,80624.8
1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,88078.4
1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,69527.2
1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,70949.0
0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,79602.4
1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,73279.8
0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,62992.8
0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,88464.4
0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,86852.6
1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,60466.4
1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,92970.0
1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,67113.4
1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,94136.4
0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,78915.2
1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,68794.2
1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,62657.6
1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,66704.8
