Option,RSD (%)
OPTIMIZE_IN_SELECT,6.703
OPTIMIZE_INSERT_FROM_SELECT,5.301
OPTIMIZE_TWO_EQUALS,5.947
OPTIMIZE_IN_LIST,0.133
OPTIMIZE_EVALUATABLE_SUBQUERIES,0.152
PAGE_STORE_TRIM,23.420
RECOMPILE_ALWAYS,18.454
COMPRESS,7.833
IGNORE_CATALOGS,5.601
OPTIMIZE_OR,0.809
PAGE_STORE_INTERNAL_COUNT,4.294
REUSE_SPACE,0.359
DROP_RESTRICT,0.286
DEFRAG_ALWAYS,6.037
OPTIMIZE_DISTINCT,16.952
MVSTORE,28.767
