Option,RSD (%)
LZP,1.136
ROLZX,121.468
RANK,0.081
TEXT,164.220
skip,32.901
BWTS,3.946
LZ,18.394
MTFT,11.745
SRT,20.259
X86,58.027
checksum,2.179
RLT,8.859
BWT,25.665
ZRLT,18.236
ROLZ,216.355
jobs,142.712
blocksize,46.585
entropyType,42.856
