Workload,lrzip,xz,z3,dconvert,batik,kanzi,x264,h2,jump3r
W1,0.025 ,0.381 ,0.488 ,0.461 ,0.319 ,0.207 ,-0.083 ,0.637 ,0.439 
W2,0.186 ,0.460 ,0.535 ,0.524 ,0.280 ,0.328 ,-0.015 ,0.627 ,0.067 
W3,-0.037 ,-0.198 ,0.545 ,0.468 ,0.520 ,0.123 ,-0.014 ,0.641 ,0.363 
W4,-0.078 ,-0.099 ,0.492 ,0.511 ,0.550 ,0.181 ,0.065 ,0.257 ,0.267 
W5,-0.050 ,0.566 ,0.098 ,0.523 ,0.360 ,0.123 ,0.031 ,0.637 ,0.443 
W6,0.019 ,0.612 ,0.018 ,0.524 ,0.438 ,0.192 ,0.155 ,0.653 ,0.117 
W7,0.196 ,0.262 ,0.318 ,0.512 ,0.341 ,0.334 ,-0.045 ,0.405 ,N/A
W8,-0.075 ,0.383 ,0.488 ,0.232 ,0.252 ,0.150 ,0.015 ,0.336 ,N/A
W9,-0.025 ,0.504 ,0.538 ,0.471 ,0.428 ,0.138 ,0.148 ,N/A,N/A
W10,0.016 ,0.456 ,0.372 ,-0.005 ,0.583 ,N/A,N/A,N/A,N/A
W11,-0.072 ,0.450 ,0.225 ,0.292 ,0.188 ,N/A,N/A,N/A,N/A
W12,0.026 ,0.479 ,0.245 ,0.345 ,N/A,N/A,N/A,N/A,N/A
W13,0.073 ,0.565 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Median,0.016 ,0.456 ,0.430 ,0.469 ,0.360 ,0.181 ,0.015 ,0.632 ,0.315 
IQR,0.076 ,0.123 ,0.263 ,0.183 ,0.180 ,0.070 ,0.080 ,0.250 ,0.265 
