Option,RSD (%)
MemoryLimit,2.118
Nice,7.290
Depth,19.927
Dict,20.944
Dist,2.042
Multithreading,0.288
BlockSize,23.014
FlushTimeout,5.157
PositionBits,2.822
check,84.806
mfs,23.679
